airtime,selected_mcs,txgain,pm_power
1.0,0,74,13.64801467
1.0,5,74,13.29312133
1.0,9,74,13.384308
1.0,14,74,13.92321867
1.0,18,74,14.15009067
1.0,23,74,14.504804
1.0,0,74,13.173232
1.0,5,74,13.26783067
1.0,9,74,13.38876933
1.0,14,74,13.90405333
1.0,18,74,13.98012667
1.0,23,74,14.663716
1.0,0,74,13.13391333
1.0,5,74,13.17193333
1.0,9,74,13.49841067
1.0,14,74,13.89795333
1.0,18,74,13.97604267
1.0,23,74,14.65706
1.0,0,74,13.15818933
1.0,5,74,13.25306533
1.0,9,74,13.442608
1.0,14,74,13.90110667
1.0,18,74,14.04236133
1.0,23,74,14.61877733
1.0,0,74,13.2004
1.0,5,74,13.2525
1.0,9,74,13.38906667
1.0,14,74,13.91890933
1.0,18,74,14.169468
1.0,23,74,14.66096267
1.0,0,74,13.09033067
1.0,5,74,13.30767733
1.0,9,74,13.43879467
1.0,14,74,13.888648
1.0,18,74,14.07563067
1.0,23,74,14.69889067
1.0,0,73,12.91968533
1.0,5,73,13.34114667
1.0,9,73,13.45250133
1.0,14,73,13.70968133
1.0,18,73,14.0603
1.0,23,73,14.59386267
1.0,0,73,13.077936
1.0,5,73,13.24326933
1.0,9,73,13.44942533
1.0,14,73,13.73745333
1.0,18,73,14.09557867
1.0,23,73,14.57437733
1.0,0,73,12.99715867
1.0,5,73,13.31807733
1.0,9,73,13.47362667
1.0,14,73,13.720812
1.0,18,73,14.04087867
1.0,23,73,14.56942933
1.0,0,73,13.12752
1.0,5,73,13.182124
1.0,9,73,13.46952933
1.0,14,73,13.82833333
1.0,18,73,14.04844267
1.0,23,73,14.51671467
1.0,0,73,13.099596
1.0,5,73,13.234836
1.0,9,73,13.30551867
1.0,14,73,13.836472
1.0,18,73,14.08596533
1.0,23,73,14.55329733
1.0,0,73,13.084944
1.0,5,73,13.173152
1.0,9,73,13.48297733
1.0,14,73,13.872388
1.0,18,73,14.02676
1.0,23,73,14.61192667
1.0,0,68,12.98343733
1.0,5,68,13.28438267
1.0,9,68,14.09231067
1.0,14,68,14.25640133
1.0,18,68,14.03718667
1.0,23,68,14.56502133
1.0,0,68,13.02927733
1.0,5,68,14.12338667
1.0,9,68,13.47359467
1.0,14,68,14.74617733
1.0,18,68,14.057348
1.0,23,68,14.55357467
1.0,0,68,13.03885467
1.0,5,68,14.13259067
1.0,9,68,13.42730267
1.0,14,68,13.75375333
1.0,18,68,14.40284667
1.0,23,68,15.177416
1.0,0,68,13.13889067
1.0,5,68,13.20506533
1.0,9,68,13.97848667
1.0,14,68,14.19227733
1.0,18,68,14.09200267
1.0,23,68,14.58197333
1.0,0,68,13.11330267
1.0,5,68,13.16209333
1.0,9,68,13.44063867
1.0,14,68,13.87150533
1.0,18,68,15.121508
1.0,23,68,14.61436133
1.0,0,68,13.16322267
1.0,5,68,13.244868
1.0,9,68,13.50556267
1.0,14,68,13.80478933
1.0,18,68,14.11683067
1.0,23,68,14.678316
1.0,0,63,12.98541867
1.0,5,63,13.22204
1.0,9,63,13.485816
1.0,14,63,13.888136
1.0,18,63,14.0496
1.0,23,63,14.62222267
1.0,0,63,13.145472
1.0,5,63,13.21382133
1.0,9,63,13.48675733
1.0,14,63,13.84832
1.0,18,63,13.99203067
1.0,23,63,14.649976
1.0,0,63,13.120452
1.0,5,63,13.216316
1.0,9,63,13.467076
1.0,14,63,13.85562533
1.0,18,63,13.97039733
1.0,23,63,14.642472
1.0,0,63,13.146216
1.0,5,63,13.257
1.0,9,63,13.50238133
1.0,14,63,13.841448
1.0,18,63,14.10224533
1.0,23,63,14.55762533
1.0,0,63,13.162684
1.0,5,63,13.21282533
1.0,9,63,13.49411733
1.0,14,63,13.79276933
1.0,18,63,14.12310267
1.0,23,63,14.68305467
1.0,0,63,13.105988
1.0,5,63,13.2167
1.0,9,63,13.518284
1.0,14,63,13.87478
1.0,18,63,14.132908
1.0,23,63,14.65382667
1.0,0,58,13.075564
1.0,5,58,13.261504
1.0,9,58,13.32473333
1.0,14,58,13.88468533
1.0,18,58,14.13447467
1.0,23,58,14.63990533
1.0,0,58,13.11159333
1.0,5,58,13.19168
1.0,9,58,13.50133867
1.0,14,58,13.854664
1.0,18,58,13.981428
1.0,23,58,14.63399333
1.0,0,58,13.033004
1.0,5,58,13.26745867
1.0,9,58,13.493376
1.0,14,58,13.843896
1.0,18,58,14.10334133
1.0,23,58,14.66178533
1.0,0,58,13.08112533
1.0,5,58,13.29817733
